,ENTREZID,SYMBOL,TAIR
19695,6240984,NA,AT3G47341
19696,823889,ATHSD2,AT3G47350
19697,823889,HSD2,AT3G47350
19698,823890,ATHSD3,AT3G47360
19699,823890,HSD3,AT3G47360
19700,823891,NA,AT3G47370
19701,823892,NA,AT3G47380
19702,823893,PHS1,AT3G47390
19703,823893,PyrR,AT3G47390
19704,823894,NA,AT3G47400
19705,823895,NA,AT3G47410
19706,823896,AtG3Pp1,AT3G47420
19707,823896,ATPS3,AT3G47420
19708,823896,G3Pp1,AT3G47420
19709,823896,PS3,AT3G47420
19710,823897,PEX11B,AT3G47430
19711,823898,TIP5;1,AT3G47440
19712,823899,ATNOA1,AT3G47450
19713,823899,ATNOS1,AT3G47450
19714,823899,NOA1,AT3G47450
19715,823899,NOS1,AT3G47450
19716,823899,RIF1,AT3G47450
19717,823900,ATSMC2,AT3G47460
19718,823901,CAB4,AT3G47470
19719,823901,LHCA4,AT3G47470
19720,823902,NA,AT3G47480
19721,823903,NA,AT3G47490
19722,823904,CDF3,AT3G47500
19723,823905,NA,AT3G47510
19724,823906,MDH,AT3G47520
19725,823906,pNAD-MDH,AT3G47520
19726,823907,NA,AT3G47530
19727,823908,NA,AT3G47540
19728,823909,NA,AT3G47550
19729,823910,NA,AT3G47560
19730,823911,NA,AT3G47570
19731,823912,NA,AT3G47580
19732,823913,NA,AT3G47590
19733,823914,ATMYB94,AT3G47600
19734,823914,ATMYBCP70,AT3G47600
19735,823914,MYB94,AT3G47600
19736,823915,NA,AT3G47610
19737,823916,AtTCP14,AT3G47620
19738,823916,TCP14,AT3G47620
19739,823917,NA,AT3G47630
19740,823918,PYE,AT3G47640
19741,823919,NA,AT3G47650
19742,823920,NA,AT3G47660
19743,823921,NA,AT3G47670
19744,2745949,NA,AT3G47675
19745,823922,NA,AT3G47680
19746,823923,AtEB1a,AT3G47690
19747,823923,ATEB1H2,AT3G47690
19748,823923,EB1a,AT3G47690
19749,823924,MAG2,AT3G47700
19750,823925,BHLH161,AT3G47710
19751,823925,BNQ3,AT3G47710
19752,823926,SRO4,AT3G47720
19753,823927,ABCA2,AT3G47730
19754,823927,ATATH1,AT3G47730
19755,823927,ATH1,AT3G47730
19756,823928,ABCA3,AT3G47740
19757,823928,ATATH2,AT3G47740
19758,823928,ATH2,AT3G47740
19759,823929,ABCA4,AT3G47750
19760,823929,ATATH3,AT3G47750
19761,823930,ABCA5,AT3G47760
19762,823930,ATATH4,AT3G47760
19763,823930,ATH4,AT3G47760
19764,823931,ABCA6,AT3G47770
19765,823931,ATATH5,AT3G47770
19766,823931,ATH5,AT3G47770
19767,823932,ABCA7,AT3G47780
19768,823932,ATATH6,AT3G47780
19769,823932,ATH6,AT3G47780
19770,823933,ABCA8,AT3G47790
19771,823933,ATATH7,AT3G47790
19772,823933,ATH7,AT3G47790
19773,823934,NA,AT3G47800
19774,823935,ATVPS29,AT3G47810
19775,823935,MAG1,AT3G47810
19776,823935,VPS29,AT3G47810
19777,823936,PUB39,AT3G47820
19778,823937,NA,AT3G47830
19779,823938,SDH7,AT3G47833
19780,823938,SDH7A,AT3G47833
19781,823939,NA,AT3G47836
19782,823940,NA,AT3G47840
19783,823941,NA,AT3G47850
19784,823942,CHL,AT3G47860
19785,823943,ASL29,AT3G47870
19786,823943,LBD27,AT3G47870
19787,823943,SCP,AT3G47870
19788,823944,NA,AT3G47890
19789,823946,NA,AT3G47910
19790,823947,NA,AT3G47920
19791,823948,ATGLDH,AT3G47930
19792,823948,GLDH,AT3G47930
19793,823949,NA,AT3G47940
19794,823950,AHA4,AT3G47950
19795,823950,HA4,AT3G47950
19796,823951,AtNPF2.10,AT3G47960
19797,823951,GTR1,AT3G47960
19798,823951,NPF2.10,AT3G47960
19799,2745951,NA,AT3G47965
19800,823953,NA,AT3G47980
19801,823954,SIS3,AT3G47990
19802,823955,ALDH2,AT3G48000
19803,823955,ALDH2A,AT3G48000
19804,823955,ALDH2B4,AT3G48000
19805,823956,ATCNGC16,AT3G48010
19806,823956,CNGC16,AT3G48010
19807,823957,NA,AT3G48020
19808,823958,NA,AT3G48030
19809,823959,ARAC8,AT3G48040
19810,823959,ATRAC8,AT3G48040
19811,823959,ATROP10,AT3G48040
19812,823959,ROP10,AT3G48040
19813,823960,SUO,AT3G48050
19814,823961,NA,AT3G48060
